conversation_id,turn_id,normal_conversation_history_zh,normal_conversation_history_en,personalized_conversation_history_zh,personalized_conversation_history_en
0:1:6530975882096705538:6935695071677367298,1,,,,
0:1:6533771458903113729:6935695071677367298,6,,,,
0:1:6504934275283877889:6935695071677367298,3,,,,
0:1:6518667294284398594:6935695071677367298,5,,,,
0:1:6562319393693794306:6935695071677367298,1,,,,
0:1:6558575251432620033:6935695071677367298,2,,,,
0:1:6555266923532156930:6935695071677367298,2,,,,
0:1:6548731231688556545:6935695071677367298,3,,,,
0:1:6547933219533242369:6935695071677367298,2,,,,
0:1:6559746300265512965:6935695071677367298,1,,,,
0:1:6525785784405344267:6935695071677367298,1,,,,
0:1:6525785784405344267:6935695071677367298,3,"[Customer]: 激光调色光在DIVA去除黑眼圈的价格是多少呢？  
[Business]: 在DIVA使用激光治疗黑眼圈的费用根据技术和皮肤状况从199,000越南盾到8,100,000越南盾不等。目前为提前预约的客户提供大幅折扣优惠。  

请提供您的电话号码，以便专家联系您进行详细咨询并告知具体优惠信息哦！","[Customer]: How much is the laser toning treatment for dark circles under the eyes at Diva?  
[Business]: The cost for dark circle laser treatment at DIVA ranges from 199,000 VND to 8,100,000 VND depending on the technology and skin condition. We currently offer significant discounts for early registrations.  

Please share your phone number so our specialist can contact you for detailed consultation and inform you about exclusive offers.","[客户]: Diva的激光调光去黑眼圈疗程价格是多少呢？  
[商家]: DIVA正在以激光去除黑眼圈疗程回馈客户，价格从199,000đ到8,100,000đ不等，具体取决于采用的技术。目前我们推出了五月特别优惠——您可以留下电话号码，皮肤科医生将联系您并根据您的皮肤状况提供具体价格方案哦~","[Customer]: What is the price of the Laser toning light to remove dark circles at Diva?  
[Business]: DIVA offers a customer appreciation program with Laser dark circle removal treatments ranging from ₮199,000 to ₮8,100,000 depending on the technology. We currently have a May promotional offer - could you please leave your phone number so our dermatologist can contact you with a detailed consultation and price tailored to your skin condition?"
0:1:6537919150329053185:6935695071677367298,2,,,,
0:1:6537919150329053185:6935695071677367298,4,"[Customer]: 091*****81
[Business]: 感谢您提供电话号码。DIVA的专家将在第一时间联系您进行咨询！","[Customer]: 091*****81  
[Business]: Thank you for providing your phone number. DIVA's experts will contact you for consultation as soon as possible!","[Customer]: 091*****81  
[Business]: 感谢您提供电话号码 091*****81。DIVA的专家将尽快与您联系咨询！","[Customer]: 091*****81  
[Business]: Thank you for providing the phone number 091*****81. DIVA's experts will contact you for consultation as soon as possible!"
0:1:6564724144214671362:6935695071677367298,2,,,,
0:1:6551917466699825153:6935695071677367298,1,,,,
